time,nifty_close,atm_strike,ce_itm2,ce_itm1,ce_atm,ce_otm1,ce_otm2,pe_itm2,pe_itm1,pe_atm,pe_otm1,pe_otm2
2026-06-09 14:35:00+05:30,23241.45,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:40:00+05:30,23251.15,23300,23200,23250,23300,23350,23400,23400,23350,23300,23250,23200
2026-06-09 14:45:00+05:30,23241.3,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:50:00+05:30,23267.25,23300,23200,23250,23300,23350,23400,23400,23350,23300,23250,23200
2026-06-09 14:55:00+05:30,23274.65,23300,23200,23250,23300,23350,23400,23400,23350,23300,23250,23200
2026-06-09 15:00:00+05:30,23237.9,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 15:05:00+05:30,23263.7,23300,23200,23250,23300,23350,23400,23400,23350,23300,23250,23200
2026-06-09 15:10:00+05:30,23244.2,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 15:15:00+05:30,23231.1,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 15:20:00+05:30,23239.7,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 15:25:00+05:30,23257.75,23300,23200,23250,23300,23350,23400,23400,23350,23300,23250,23200
