date,open,high,low,close,volume,symbol
2026-05-11 10:15:00,24033.0,24033.0,23986.9,24012.1,42575,NIFTY26JUNFUT
2026-05-11 10:30:00,24012.1,24019.8,23995.9,23999.9,35750,NIFTY26JUNFUT
2026-05-11 10:45:00,23999.9,24038.0,23986.3,24031.8,25025,NIFTY26JUNFUT
2026-05-11 11:00:00,24031.8,24063.8,24025.0,24050.3,14365,NIFTY26JUNFUT
2026-05-11 11:15:00,24050.3,24080.0,24050.3,24069.0,28340,NIFTY26JUNFUT
2026-05-11 11:30:00,24069.0,24087.9,24051.3,24083.0,8060,NIFTY26JUNFUT
2026-05-11 11:45:00,24083.0,24088.9,24052.0,24065.0,7215,NIFTY26JUNFUT
2026-05-11 12:00:00,24065.0,24080.0,24056.2,24072.0,3380,NIFTY26JUNFUT
2026-05-11 12:15:00,24072.0,24080.0,24062.3,24070.9,4160,NIFTY26JUNFUT
2026-05-11 12:30:00,24070.9,24095.0,24034.3,24095.0,9165,NIFTY26JUNFUT
2026-05-11 12:45:00,24095.0,24095.0,24072.1,24083.0,2925,NIFTY26JUNFUT
2026-05-11 13:00:00,24083.0,24088.0,24040.0,24088.0,4615,NIFTY26JUNFUT
2026-05-11 13:15:00,24088.0,24090.0,24074.0,24074.9,3575,NIFTY26JUNFUT
2026-05-11 13:30:00,24074.9,24123.0,24074.9,24102.0,15210,NIFTY26JUNFUT
2026-05-11 13:45:00,24102.0,24140.0,24096.1,24108.4,12740,NIFTY26JUNFUT
2026-05-11 14:00:00,24108.4,24112.3,24080.0,24080.0,3510,NIFTY26JUNFUT
2026-05-11 14:15:00,24080.0,24094.6,24053.4,24071.0,5915,NIFTY26JUNFUT
2026-05-11 14:30:00,24071.0,24089.8,24040.0,24049.6,17680,NIFTY26JUNFUT
2026-05-11 14:45:00,24049.6,24055.0,24015.0,24015.0,19695,NIFTY26JUNFUT
2026-05-11 15:00:00,24015.0,24015.5,23961.9,23965.5,64740,NIFTY26JUNFUT
2026-05-11 15:15:00,23965.5,23980.6,23959.0,23959.0,46605,NIFTY26JUNFUT
2026-05-12 09:15:00,23925.4,23925.6,23775.0,23777.6,83590,NIFTY26JUNFUT
2026-05-12 09:30:00,23777.6,23795.0,23765.0,23789.9,46865,NIFTY26JUNFUT
2026-05-12 09:45:00,23789.9,23789.9,23771.0,23771.0,23725,NIFTY26JUNFUT
2026-05-12 10:00:00,23771.0,23786.0,23747.3,23786.0,31070,NIFTY26JUNFUT
2026-05-12 10:15:00,23786.0,23813.4,23750.0,23750.9,18330,NIFTY26JUNFUT
