tf,date,open,high,low,close,volume,vwap
5m,2026-06-03 14:25:00+05:30,142.8,151.3,142.8,148.7,2305160,213.87281418003778
5m,2026-06-03 14:30:00+05:30,148.7,149.2,140.75,145.35,2031900,212.02624380171318
5m,2026-06-03 14:35:00+05:30,145.35,155.05,143.65,146.3,2830230,209.73002413529005
5m,2026-06-03 14:40:00+05:30,146.3,147.95,136.75,139.05,2363010,207.7290075225318
5m,2026-06-03 14:45:00+05:30,139.45,145.75,136.1,143.25,1717300,206.35598973357182
5m,2026-06-03 14:50:00+05:30,143.25,145.4,133.7,138.1,2275130,204.5519538238388
5m,2026-06-03 14:55:00+05:30,138.1,145.5,133.9,137.95,2104960,202.96812774910586
5m,2026-06-03 15:00:00+05:30,137.95,154.4,130.7,138.55,5929170,199.02674094376175
5m,2026-06-03 15:05:00+05:30,138.55,156.0,127.85,153.5,5470140,196.0658438560796
5m,2026-06-03 15:10:00+05:30,153.15,162.35,147.3,149.2,4462120,194.19485972121868
5m,2026-06-03 15:15:00+05:30,149.1,156.35,146.1,153.05,2771340,193.08311909505946
5m,2026-06-03 15:20:00+05:30,153.05,155.55,141.65,152.8,1991535,192.2856334942775
5m,2026-06-03 15:25:00+05:30,152.8,155.9,148.05,153.45,2206685,191.4853556644709
5m,2026-06-04 09:15:00+05:30,203.1,240.4,180.8,187.6,3734380,202.93333333333337
5m,2026-06-04 09:20:00+05:30,187.6,201.55,179.05,190.05,2759315,197.52973968082378
5m,2026-06-04 09:25:00+05:30,190.05,195.6,178.3,188.55,1899300,195.2562795422453
5m,2026-06-04 09:30:00+05:30,188.55,204.3,186.85,191.2,2003495,195.03666612481715
5m,2026-06-04 09:35:00+05:30,191.2,196.1,171.25,195.15,2283840,193.67924565054696
5m,2026-06-04 09:40:00+05:30,195.15,204.7,174.1,175.45,2410265,192.2530693952094
5m,2026-06-04 09:45:00+05:30,175.45,178.65,159.2,162.6,2634385,188.47256990793034
5m,2026-06-04 09:50:00+05:30,162.6,172.05,160.5,161.3,1753115,186.3254327361069
5m,2026-06-04 09:55:00+05:30,161.35,164.45,141.5,153.1,4353180,180.24103086175623
5m,2026-06-04 10:00:00+05:30,153.1,158.35,144.1,150.35,2591940,177.36614249060912
5m,2026-06-04 10:05:00+05:30,150.35,150.35,140.0,144.6,1580540,175.53844741237978
5m,2026-06-04 10:10:00+05:30,144.55,146.45,138.6,143.25,1518270,173.8530477301834
5m,2026-06-04 10:15:00+05:30,143.25,149.0,135.0,138.3,2513550,171.257050214228
5m,2026-06-04 10:20:00+05:30,138.3,144.4,136.75,138.1,1214590,170.10613417757978
5m,2026-06-04 10:25:00+05:30,138.1,148.5,136.45,147.85,1753830,168.81148100143045
5m,2026-06-04 10:30:00+05:30,147.85,161.3,145.4,161.1,4199130,167.43207524697755
5m,2026-06-04 10:35:00+05:30,161.1,168.25,154.55,163.15,3558555,166.97864012046924
5m,2026-06-04 10:40:00+05:30,163.15,163.2,148.05,148.9,3103035,166.05883253426228
5m,2026-06-04 10:45:00+05:30,148.9,150.6,132.3,145.0,3397225,164.44335227662572
5m,2026-06-04 10:50:00+05:30,145.0,153.0,142.85,146.65,1777620,163.853244488197
