date,open,high,low,close,volume
2026-03-04 15:15:00+05:30,24464.85,24482.15,24451.05,24473.95,0
2026-03-05 09:15:00+05:30,24615.95,24656.7,24530.05,24596.25,0
2026-03-05 10:15:00+05:30,24597.05,24672.8,24538.55,24643.2,0
2026-03-05 11:15:00+05:30,24639.85,24662.95,24556.9,24615.5,0
2026-03-05 12:15:00+05:30,24615.65,24665.95,24592.9,24639.65,0
2026-03-05 13:15:00+05:30,24640.7,24671.3,24547.35,24553.75,0
2026-03-05 14:15:00+05:30,24554.15,24854.2,24529.4,24714.8,0
2026-03-05 15:15:00+05:30,24716.0,24759.4,24706.05,24737.45,0
2026-03-06 09:15:00+05:30,24656.4,24700.9,24587.15,24653.35,0
2026-03-06 10:15:00+05:30,24652.35,24675.65,24575.15,24617.6,0
2026-03-06 11:15:00+05:30,24617.4,24654.55,24593.9,24608.85,0
2026-03-06 12:15:00+05:30,24608.6,24623.35,24576.05,24602.65,0
2026-03-06 13:15:00+05:30,24602.05,24623.5,24543.2,24585.75,0
2026-03-06 14:15:00+05:30,24587.2,24616.45,24431.3,24441.15,0
2026-03-06 15:15:00+05:30,24442.5,24474.4,24415.75,24469.4,0
2026-03-09 09:15:00+05:30,23868.05,23959.7,23697.8,23806.2,0
2026-03-09 10:15:00+05:30,23805.0,23896.0,23744.85,23819.5,0
2026-03-09 11:15:00+05:30,23818.45,23932.0,23787.35,23855.35,0
2026-03-09 12:15:00+05:30,23855.6,23918.2,23834.1,23869.7,0
2026-03-09 13:15:00+05:30,23870.0,23937.55,23853.85,23883.6,0
2026-03-09 14:15:00+05:30,23884.55,24078.15,23863.95,24047.7,0
2026-03-09 15:15:00+05:30,24047.05,24055.45,23994.7,24005.8,0
2026-03-10 09:15:00+05:30,24280.8,24303.8,24079.95,24151.75,0
2026-03-10 10:15:00+05:30,24151.5,24233.2,24149.3,24222.4,0
2026-03-10 11:15:00+05:30,24222.2,24255.3,24172.5,24172.5,0
2026-03-10 12:15:00+05:30,24173.1,24236.5,24142.45,24209.35,0
2026-03-10 13:15:00+05:30,24209.9,24294.0,24190.4,24285.95,0
2026-03-10 14:15:00+05:30,24286.25,24296.65,24201.95,24258.0,0
2026-03-10 15:15:00+05:30,24257.4,24300.65,24254.0,24286.15,0
2026-03-11 09:15:00+05:30,24231.85,24299.0,24109.6,24116.5,0
2026-03-11 10:15:00+05:30,24117.1,24141.95,24049.05,24071.4,0
2026-03-11 11:15:00+05:30,24073.75,24073.75,23971.6,24011.6,0
2026-03-11 12:15:00+05:30,24012.55,24024.2,23919.8,23929.65,0
2026-03-11 13:15:00+05:30,23930.7,24005.35,23913.45,23939.95,0
2026-03-11 14:15:00+05:30,23940.95,23977.05,23854.35,23861.9,0
2026-03-11 15:15:00+05:30,23864.2,23879.6,23834.3,23848.2,0
2026-03-12 09:15:00+05:30,23674.85,23696.75,23556.3,23610.15,0
2026-03-12 10:15:00+05:30,23610.5,23774.0,23589.9,23741.05,0
2026-03-12 11:15:00+05:30,23741.75,23756.65,23665.0,23749.35,0
2026-03-12 12:15:00+05:30,23751.15,23759.2,23656.4,23715.25,0
2026-03-12 13:15:00+05:30,23718.3,23833.15,23695.8,23738.9,0
2026-03-12 14:15:00+05:30,23739.35,23758.15,23605.55,23633.9,0
2026-03-12 15:15:00+05:30,23636.35,23652.15,23624.6,23639.35,0
2026-03-13 09:15:00+05:30,23462.5,23492.4,23311.85,23329.8,0
2026-03-13 10:15:00+05:30,23330.95,23379.55,23305.75,23321.65,0
2026-03-13 11:15:00+05:30,23323.55,23414.9,23309.65,23336.15,0
2026-03-13 12:15:00+05:30,23338.9,23338.9,23173.55,23175.7,0
2026-03-13 13:15:00+05:30,23178.35,23205.5,23112.0,23201.85,0
2026-03-13 14:15:00+05:30,23203.65,23258.6,23125.1,23162.55,0
2026-03-13 15:15:00+05:30,23161.45,23173.85,23138.5,23170.9,0
2026-03-16 09:15:00+05:30,23116.1,23284.65,23098.0,23155.2,0
2026-03-16 10:15:00+05:30,23154.35,23154.35,22955.25,23092.35,0
2026-03-16 11:15:00+05:30,23093.55,23218.15,23090.7,23162.85,0
2026-03-16 12:15:00+05:30,23163.3,23196.45,23086.35,23116.8,0
2026-03-16 13:15:00+05:30,23117.95,23180.7,23092.85,23155.3,0
2026-03-16 14:15:00+05:30,23155.05,23502.0,23134.6,23435.25,0
2026-03-16 15:15:00+05:30,23435.8,23436.05,23338.6,23355.6,0
2026-03-17 09:15:00+05:30,23493.2,23537.1,23346.6,23525.85,0
2026-03-17 10:15:00+05:30,23525.75,23577.55,23443.0,23471.45,0
2026-03-17 11:15:00+05:30,23470.45,23479.5,23355.7,23435.15,0
2026-03-17 12:15:00+05:30,23435.15,23533.5,23380.35,23532.95,0
2026-03-17 13:15:00+05:30,23533.95,23608.95,23504.15,23600.0,0
2026-03-17 14:15:00+05:30,23600.4,23656.8,23526.85,23607.05,0
2026-03-17 15:15:00+05:30,23607.65,23607.65,23546.55,23558.8,0
2026-03-18 09:15:00+05:30,23632.9,23754.65,23618.45,23664.3,0
2026-03-18 10:15:00+05:30,23664.95,23791.5,23664.65,23785.3,0
2026-03-18 11:15:00+05:30,23784.7,23835.95,23770.6,23779.65,0
2026-03-18 12:15:00+05:30,23779.2,23803.2,23760.9,23803.2,0
2026-03-18 13:15:00+05:30,23802.4,23859.35,23792.4,23817.65,0
2026-03-18 14:15:00+05:30,23817.5,23862.25,23766.9,23792.55,0
2026-03-18 15:15:00+05:30,23792.35,23792.9,23730.65,23764.1,0
2026-03-19 09:15:00+05:30,23197.75,23378.7,23180.95,23236.65,0
2026-03-19 10:15:00+05:30,23234.75,23317.8,23204.05,23220.95,0
2026-03-19 11:15:00+05:30,23221.35,23268.75,23207.55,23265.5,0
2026-03-19 12:15:00+05:30,23265.5,23281.2,23194.7,23200.25,0
2026-03-19 13:15:00+05:30,23200.35,23217.85,23087.95,23111.3,0
2026-03-19 14:15:00+05:30,23111.55,23137.05,22930.35,22987.25,0
2026-03-19 15:15:00+05:30,22987.55,23093.9,22977.65,23087.85,0
2026-03-20 09:15:00+05:30,23110.15,23319.7,23109.9,23243.65,0
2026-03-20 10:15:00+05:30,23243.4,23317.9,23200.65,23289.15,0
2026-03-20 11:15:00+05:30,23288.95,23345.15,23210.9,23233.05,0
2026-03-20 12:15:00+05:30,23234.15,23251.2,23120.35,23231.5,0
2026-03-20 13:15:00+05:30,23232.0,23272.4,23185.25,23199.15,0
2026-03-20 14:15:00+05:30,23200.05,23205.75,23067.6,23106.85,0
2026-03-20 15:15:00+05:30,23106.25,23139.8,23078.7,23134.65,0
2026-03-23 09:15:00+05:30,22824.35,22851.7,22571.1,22571.1,0
2026-03-23 10:15:00+05:30,22571.95,22587.5,22504.15,22554.75,0
2026-03-23 11:15:00+05:30,22554.6,22571.6,22508.3,22535.35,0
2026-03-23 12:15:00+05:30,22534.25,22555.9,22471.25,22489.1,0
2026-03-23 13:15:00+05:30,22489.7,22661.15,22482.85,22618.7,0
2026-03-23 14:15:00+05:30,22619.65,22656.45,22486.1,22509.25,0
2026-03-23 15:15:00+05:30,22509.55,22510.7,22478.1,22492.65,0
2026-03-24 09:15:00+05:30,22878.45,22899.6,22681.6,22708.1,0
2026-03-24 10:15:00+05:30,22706.95,22766.8,22624.2,22698.25,0
2026-03-24 11:15:00+05:30,22699.4,22827.8,22689.55,22761.45,0
2026-03-24 12:15:00+05:30,22761.9,23026.1,22753.35,22990.5,0
2026-03-24 13:15:00+05:30,22990.75,23057.3,22950.6,22992.35,0
2026-03-24 14:15:00+05:30,22993.2,23037.9,22875.35,22898.65,0
2026-03-24 15:15:00+05:30,22901.15,22961.7,22881.3,22958.4,0
2026-03-25 09:15:00+05:30,23064.4,23310.35,23063.2,23305.55,0
2026-03-25 10:15:00+05:30,23306.6,23433.7,23283.35,23432.55,0
2026-03-25 11:15:00+05:30,23432.3,23442.35,23343.5,23440.35,0
2026-03-25 12:15:00+05:30,23439.95,23465.35,23369.7,23392.6,0
2026-03-25 13:15:00+05:30,23392.2,23462.8,23371.55,23390.75,0
2026-03-25 14:15:00+05:30,23390.3,23403.95,23284.1,23300.65,0
