tf,date,open,high,low,close,volume
5m,2026-05-13 10:00:00+05:30,312.6,325.95,302.2,306.3,112125
5m,2026-05-13 10:05:00+05:30,305.0,305.0,283.75,292.2,192530
5m,2026-05-13 10:10:00+05:30,292.2,310.25,290.65,295.4,140660
5m,2026-05-13 10:15:00+05:30,295.4,298.15,272.0,273.6,145405
5m,2026-05-13 10:20:00+05:30,273.6,273.85,253.65,257.55,321100
5m,2026-05-13 10:25:00+05:30,256.85,260.8,246.95,260.0,233025
5m,2026-05-13 10:30:00+05:30,260.0,267.5,239.0,243.35,328965
5m,2026-05-13 10:35:00+05:30,243.35,276.0,243.35,272.6,428220
5m,2026-05-13 10:40:00+05:30,272.3,273.3,249.55,254.9,262275
5m,2026-05-13 10:45:00+05:30,254.9,264.75,245.1,264.05,222040
5m,2026-05-13 10:50:00+05:30,264.3,270.1,255.3,265.25,211835
5m,2026-05-13 10:55:00+05:30,265.25,308.3,262.85,307.5,406770
5m,2026-05-13 11:00:00+05:30,307.5,310.35,280.5,288.05,234780
5m,2026-05-13 11:05:00+05:30,288.05,299.8,282.3,288.05,150280
5m,2026-05-13 11:10:00+05:30,288.05,299.7,281.9,282.9,97955
5m,2026-05-13 11:15:00+05:30,282.9,295.6,277.2,281.95,134940
5m,2026-05-13 11:20:00+05:30,281.95,292.75,276.05,280.15,106990
5m,2026-05-13 11:25:00+05:30,279.8,292.45,278.2,284.4,106990
5m,2026-05-13 11:30:00+05:30,284.4,287.9,276.7,281.55,61815
5m,2026-05-13 11:35:00+05:30,281.55,282.65,245.0,245.0,327990
5m,2026-05-13 11:40:00+05:30,244.35,249.05,229.4,231.0,535210
5m,2026-05-13 11:45:00+05:30,231.0,241.45,225.75,240.5,472355
5m,2026-05-13 11:50:00+05:30,240.5,252.0,236.0,249.45,470015
5m,2026-05-13 11:55:00+05:30,249.45,252.95,240.45,252.8,322465
5m,2026-05-13 12:00:00+05:30,252.8,252.8,239.25,242.3,197080
5m,2026-05-13 12:05:00+05:30,242.05,246.95,237.7,238.7,155155
5m,2026-05-13 12:10:00+05:30,238.9,243.3,229.8,231.15,243490
5m,2026-05-13 12:15:00+05:30,230.65,246.6,223.8,235.4,772655
5m,2026-05-13 12:20:00+05:30,235.4,244.1,235.2,239.0,198380
5m,2026-05-13 12:25:00+05:30,238.6,243.5,236.0,237.4,208455
5m,2026-05-13 12:30:00+05:30,237.4,250.65,235.85,247.15,288795
5m,2026-05-13 12:35:00+05:30,247.15,265.45,243.15,256.8,653445
5m,2026-05-13 12:40:00+05:30,256.35,283.65,255.75,263.5,554060
5m,2026-05-13 12:45:00+05:30,263.7,265.95,250.4,250.45,211770
5m,2026-05-13 12:50:00+05:30,250.45,250.65,216.05,216.05,442325
5m,2026-05-13 12:55:00+05:30,217.25,219.3,189.3,190.75,1514695
5m,2026-05-13 13:00:00+05:30,190.75,203.4,189.05,200.4,1287910
5m,2026-05-13 13:05:00+05:30,200.4,219.15,197.55,216.8,1742195
5m,2026-05-13 13:10:00+05:30,217.0,217.9,204.15,213.05,1064505
5m,2026-05-13 13:15:00+05:30,213.05,238.75,212.35,234.55,1771510
5m,2026-05-13 13:20:00+05:30,234.55,239.0,227.1,231.0,686205
5m,2026-05-13 13:25:00+05:30,230.6,241.3,227.25,238.0,594165
5m,2026-05-13 13:30:00+05:30,238.0,240.4,209.45,217.5,997620
5m,2026-05-13 13:35:00+05:30,217.7,226.55,212.35,213.2,659815
5m,2026-05-13 13:40:00+05:30,214.2,224.3,210.85,222.0,511290
