tf,date,open,high,low,close,volume
5m,2026-05-13 12:25:00+05:30,298.4,303.3,292.6,301.1,340860
5m,2026-05-13 12:30:00+05:30,301.1,305.0,288.9,292.7,541905
5m,2026-05-13 12:35:00+05:30,292.7,296.35,273.05,281.6,1104090
5m,2026-05-13 12:40:00+05:30,281.6,281.75,256.2,273.2,1348360
5m,2026-05-13 12:45:00+05:30,273.2,284.8,270.45,283.0,827385
5m,2026-05-13 12:50:00+05:30,282.5,323.85,282.5,323.85,1697800
5m,2026-05-13 12:55:00+05:30,323.85,360.7,322.3,360.7,2251730
5m,2026-05-13 13:00:00+05:30,360.7,362.7,336.15,340.35,977405
5m,2026-05-13 13:05:00+05:30,340.35,343.3,317.15,317.55,804700
5m,2026-05-13 13:10:00+05:30,317.55,333.3,316.0,321.3,496795
5m,2026-05-13 13:15:00+05:30,321.3,322.8,297.35,301.45,754130
5m,2026-05-13 13:20:00+05:30,301.45,308.4,297.0,301.0,445120
5m,2026-05-13 13:25:00+05:30,301.0,306.0,292.3,296.8,475735
5m,2026-05-13 13:30:00+05:30,294.05,326.4,293.3,321.0,907270
5m,2026-05-13 13:35:00+05:30,321.0,324.6,308.0,322.55,482625
5m,2026-05-13 13:40:00+05:30,322.55,324.75,309.0,311.2,315965
5m,2026-05-13 13:45:00+05:30,311.2,320.2,299.45,303.15,477815
5m,2026-05-13 13:50:00+05:30,304.1,312.8,300.1,301.0,306540
5m,2026-05-13 13:55:00+05:30,301.0,303.0,283.3,296.45,695370
5m,2026-05-13 14:00:00+05:30,296.45,302.95,284.8,288.8,464555
5m,2026-05-13 14:05:00+05:30,288.8,307.3,288.7,306.5,457080
5m,2026-05-13 14:10:00+05:30,306.5,314.4,302.0,311.0,629070
5m,2026-05-13 14:15:00+05:30,311.95,315.0,285.25,285.9,594620
5m,2026-05-13 14:20:00+05:30,283.45,297.2,273.75,294.6,920270
5m,2026-05-13 14:25:00+05:30,294.6,298.75,278.3,284.75,540150
5m,2026-05-13 14:30:00+05:30,284.75,295.6,283.15,291.4,357045
5m,2026-05-13 14:35:00+05:30,292.05,294.7,282.9,292.1,305760
5m,2026-05-13 14:40:00+05:30,292.1,292.6,277.0,279.3,536965
5m,2026-05-13 14:45:00+05:30,278.25,284.55,265.25,281.85,874445
5m,2026-05-13 14:50:00+05:30,281.0,287.55,275.15,282.95,379730
5m,2026-05-13 14:55:00+05:30,282.45,284.75,275.15,276.8,261820
5m,2026-05-13 15:00:00+05:30,276.8,278.7,243.35,249.4,1765400
5m,2026-05-13 15:05:00+05:30,248.55,263.4,239.0,262.25,2112305
5m,2026-05-13 15:10:00+05:30,261.05,265.5,251.2,263.85,1064440
5m,2026-05-13 15:15:00+05:30,262.8,263.65,247.95,249.7,1211275
5m,2026-05-13 15:20:00+05:30,249.85,251.2,240.6,247.4,864825
5m,2026-05-13 15:25:00+05:30,247.4,260.0,246.3,252.0,1171625
5m,2026-05-14 09:15:00+05:30,299.9,312.95,273.65,292.65,1409135
5m,2026-05-14 09:20:00+05:30,292.65,308.7,292.65,304.15,640770
5m,2026-05-14 09:25:00+05:30,304.15,323.45,300.9,320.1,676650
5m,2026-05-14 09:30:00+05:30,320.1,324.3,302.0,303.55,456755
5m,2026-05-14 09:35:00+05:30,303.55,307.95,278.25,278.25,678860
5m,2026-05-14 09:40:00+05:30,278.25,279.15,261.9,266.55,652015
5m,2026-05-14 09:45:00+05:30,266.55,284.8,257.9,262.7,794040
5m,2026-05-14 09:50:00+05:30,262.7,267.25,248.0,250.45,600275
5m,2026-05-14 09:55:00+05:30,250.45,254.4,233.05,243.3,909805
5m,2026-05-14 10:00:00+05:30,243.3,257.65,239.15,251.65,965120
5m,2026-05-14 10:05:00+05:30,251.65,257.05,241.4,254.1,634660
5m,2026-05-14 10:10:00+05:30,254.1,261.6,248.45,260.0,613210
5m,2026-05-14 10:15:00+05:30,260.0,268.0,250.6,267.2,671645
5m,2026-05-14 10:20:00+05:30,267.2,267.5,242.3,255.65,688480
5m,2026-05-14 10:25:00+05:30,255.0,267.0,252.75,259.65,620880
5m,2026-05-14 10:30:00+05:30,259.65,271.8,256.2,271.05,338000
5m,2026-05-14 10:35:00+05:30,271.05,281.0,269.85,272.25,737685
5m,2026-05-14 10:40:00+05:30,272.7,274.7,249.0,249.05,539240
5m,2026-05-14 10:45:00+05:30,249.05,249.25,219.1,220.0,876395
5m,2026-05-14 10:50:00+05:30,220.0,237.35,212.9,233.75,1357720
5m,2026-05-14 10:55:00+05:30,233.75,234.5,215.0,216.3,681655
5m,2026-05-14 11:00:00+05:30,216.3,221.2,214.7,215.0,723970
5m,2026-05-14 11:05:00+05:30,215.0,222.0,211.0,215.95,751725
5m,2026-05-14 11:10:00+05:30,215.95,227.95,213.7,225.4,890760
5m,2026-05-14 11:15:00+05:30,225.4,252.4,225.4,252.4,1406145
5m,2026-05-14 11:20:00+05:30,252.2,285.0,251.3,280.45,1404130
5m,2026-05-14 11:25:00+05:30,280.45,309.2,264.05,300.85,1384565
5m,2026-05-14 11:30:00+05:30,300.85,331.65,300.4,322.55,1051960
5m,2026-05-14 11:35:00+05:30,322.55,347.8,322.5,340.95,582465
5m,2026-05-14 11:40:00+05:30,340.95,384.05,329.5,384.05,652990
5m,2026-05-14 11:45:00+05:30,383.55,392.6,365.4,392.25,424125
5m,2026-05-14 11:50:00+05:30,393.25,407.8,378.35,381.0,333125
5m,2026-05-14 11:55:00+05:30,381.0,393.65,374.9,387.35,293215
5m,2026-05-14 12:00:00+05:30,387.35,390.35,356.05,362.6,279045
5m,2026-05-14 12:05:00+05:30,362.6,379.75,358.2,362.6,166205
5m,2026-05-14 12:10:00+05:30,362.2,376.9,352.15,376.9,173030
5m,2026-05-14 12:15:00+05:30,375.2,405.1,375.2,382.15,318110
5m,2026-05-14 12:20:00+05:30,382.15,402.9,382.0,400.85,135655
5m,2026-05-14 12:25:00+05:30,400.85,411.45,392.2,393.8,119795
5m,2026-05-14 12:30:00+05:30,393.8,401.95,383.3,385.15,85735
5m,2026-05-14 12:35:00+05:30,385.15,393.4,370.6,381.35,141505
5m,2026-05-14 12:40:00+05:30,381.35,404.5,376.8,401.6,87230
5m,2026-05-14 12:45:00+05:30,403.75,411.0,387.2,407.05,168935
5m,2026-05-14 12:50:00+05:30,407.05,407.05,376.55,390.15,128050
5m,2026-05-14 12:55:00+05:30,390.15,398.75,377.0,391.3,77155
5m,2026-05-14 13:00:00+05:30,391.3,440.0,390.2,439.0,266695
5m,2026-05-14 13:05:00+05:30,439.0,447.6,420.6,422.05,186940
5m,2026-05-14 13:10:00+05:30,422.05,426.55,396.35,406.8,101140
5m,2026-05-14 13:15:00+05:30,406.8,424.4,403.95,412.1,75985
5m,2026-05-14 13:20:00+05:30,412.1,420.35,401.2,402.05,47645
5m,2026-05-14 13:25:00+05:30,402.05,415.55,401.7,403.75,45110
5m,2026-05-14 13:30:00+05:30,403.75,429.9,401.65,425.3,81380
5m,2026-05-14 13:35:00+05:30,425.3,449.5,424.2,428.1,118430
5m,2026-05-14 13:40:00+05:30,428.1,444.0,427.5,439.35,107705
5m,2026-05-14 13:45:00+05:30,440.45,447.65,425.85,426.4,72020
5m,2026-05-14 13:50:00+05:30,426.4,438.45,418.0,437.15,72540
5m,2026-05-14 13:55:00+05:30,437.4,442.9,431.55,437.55,53755
5m,2026-05-14 14:00:00+05:30,437.55,442.0,426.85,438.2,55185
5m,2026-05-14 14:05:00+05:30,438.2,456.7,434.55,443.0,167765
5m,2026-05-14 14:10:00+05:30,443.0,448.7,422.6,426.15,99580
