tf,date,open,high,low,close,volume,vwap
5m,2026-06-02 13:40:00+05:30,615.0,619.0,600.8,608.05,11765,475.53297203048606
5m,2026-06-02 13:45:00+05:30,608.05,638.3,608.05,632.65,51675,479.72318863374227
5m,2026-06-02 13:50:00+05:30,632.65,636.0,616.95,627.0,6435,480.2298328108673
5m,2026-06-02 13:55:00+05:30,627.0,627.0,613.55,621.0,14365,481.30146497989466
5m,2026-06-02 14:00:00+05:30,621.0,637.0,620.0,634.95,17420,482.6722450540543
5m,2026-06-02 14:05:00+05:30,634.95,642.7,627.85,640.0,18460,484.1573884385352
5m,2026-06-02 14:10:00+05:30,640.0,642.8,630.05,638.0,42835,487.49792095193857
5m,2026-06-02 14:15:00+05:30,638.0,642.9,615.8,616.6,26910,489.3622769123358
5m,2026-06-02 14:20:00+05:30,616.6,657.0,616.0,643.3,28015,491.44035133012767
5m,2026-06-02 14:25:00+05:30,643.3,643.3,620.0,626.25,27820,493.3260533715316
5m,2026-06-02 14:30:00+05:30,626.25,634.45,620.7,634.45,7995,493.8585695563024
5m,2026-06-02 14:35:00+05:30,634.45,634.45,588.1,588.1,46475,496.290261887783
5m,2026-06-02 14:40:00+05:30,589.15,589.15,553.0,560.35,64090,498.40262392570975
5m,2026-06-02 14:45:00+05:30,561.5,573.55,545.8,573.55,45370,499.75796966928914
5m,2026-06-02 14:50:00+05:30,575.0,585.65,568.0,576.0,17030,500.34627669425026
5m,2026-06-02 14:55:00+05:30,576.0,576.0,555.0,557.7,25155,501.04622149617376
5m,2026-06-02 15:00:00+05:30,557.7,596.85,541.0,593.0,23335,501.8260027662517
5m,2026-06-02 15:05:00+05:30,593.0,615.85,593.0,613.75,37310,503.5342717981925
5m,2026-06-02 15:10:00+05:30,613.75,628.6,611.0,621.4,22165,504.6449377207659
5m,2026-06-02 15:15:00+05:30,621.4,635.3,615.1,627.5,14560,505.3980711672763
5m,2026-06-02 15:20:00+05:30,627.5,632.25,622.75,625.35,30420,506.95224885095206
5m,2026-06-02 15:25:00+05:30,625.35,626.4,614.8,618.3,21125,507.9470790284821
5m,2026-06-03 09:15:00+05:30,520.7,520.7,406.35,416.45,262860,447.8333333333333
5m,2026-06-03 09:20:00+05:30,416.45,419.8,403.2,411.1,158535,434.114036711399
5m,2026-06-03 09:25:00+05:30,411.1,414.85,389.05,405.0,260845,422.20527184959354
5m,2026-06-03 09:30:00+05:30,405.0,412.2,381.1,382.65,204880,415.22552754982416
5m,2026-06-03 09:35:00+05:30,382.65,398.7,380.0,391.6,163475,411.31593763534
5m,2026-06-03 09:40:00+05:30,391.6,397.0,383.05,393.0,115570,409.30422681753157
5m,2026-06-03 09:45:00+05:30,393.0,398.55,383.5,393.55,93795,408.00612532672994
5m,2026-06-03 09:50:00+05:30,393.55,409.5,372.0,372.0,170430,405.2053864097671
5m,2026-06-03 09:55:00+05:30,372.75,390.25,361.6,379.3,287820,400.48903432448117
5m,2026-06-03 10:00:00+05:30,379.3,400.8,376.0,400.8,145405,399.86830595375125
5m,2026-06-03 10:05:00+05:30,400.8,405.95,383.45,383.9,118170,399.34546885762086
5m,2026-06-03 10:10:00+05:30,383.9,383.9,366.0,369.65,134095,397.6874298558205
5m,2026-06-03 10:15:00+05:30,369.65,387.8,362.0,385.7,164840,396.3006502697979
5m,2026-06-03 10:20:00+05:30,385.7,397.0,381.1,383.35,133445,395.79484038304486
5m,2026-06-03 10:25:00+05:30,383.35,391.25,369.3,374.7,110240,395.0359408124556
5m,2026-06-03 10:30:00+05:30,374.7,381.0,351.0,355.9,251030,392.1052194821113
5m,2026-06-03 10:35:00+05:30,355.9,370.0,350.5,363.9,206310,389.9853065347082
5m,2026-06-03 10:40:00+05:30,363.9,373.7,360.1,360.85,87815,389.26718088260213
5m,2026-06-03 10:45:00+05:30,360.85,371.8,355.85,371.1,111865,388.457852691797
5m,2026-06-03 10:50:00+05:30,371.1,373.0,360.0,373.0,64025,388.0674197209427
5m,2026-06-03 10:55:00+05:30,373.0,373.65,355.0,359.35,111735,387.22202301432105
5m,2026-06-03 11:00:00+05:30,359.35,366.8,350.35,356.0,131105,386.1130843240289
5m,2026-06-03 11:05:00+05:30,356.0,356.25,340.0,344.45,226525,383.72191708514873
5m,2026-06-03 11:10:00+05:30,344.45,351.55,341.45,345.45,132730,382.42578655133775
5m,2026-06-03 11:15:00+05:30,345.45,361.9,344.4,356.3,148785,381.37492897650264
5m,2026-06-03 11:20:00+05:30,356.3,369.9,350.1,359.55,151580,380.58832831875975
5m,2026-06-03 11:25:00+05:30,359.55,365.0,346.0,352.9,100165,379.97633769413204
5m,2026-06-03 11:30:00+05:30,352.9,366.6,350.0,357.9,85995,379.5435983382825
5m,2026-06-03 11:35:00+05:30,357.9,358.6,342.55,346.55,83525,378.97051165094734
5m,2026-06-03 11:40:00+05:30,346.55,355.3,336.4,348.6,226720,377.3984271272154
5m,2026-06-03 11:45:00+05:30,348.6,355.4,348.0,351.25,48555,377.1309851611772
5m,2026-06-03 11:50:00+05:30,351.25,357.0,345.55,350.6,68380,376.75641592719
5m,2026-06-03 11:55:00+05:30,350.6,350.6,334.75,336.65,131560,375.7860190769722
5m,2026-06-03 12:00:00+05:30,336.65,341.7,309.5,322.7,432185,371.63438635466645
5m,2026-06-03 12:05:00+05:30,322.7,330.9,319.55,328.0,322205,369.03924244168206
5m,2026-06-03 12:10:00+05:30,328.0,330.6,320.8,329.15,138450,368.0296582780961
5m,2026-06-03 12:15:00+05:30,329.15,335.4,325.25,332.0,125320,367.2421094591921
5m,2026-06-03 12:20:00+05:30,332.0,342.5,330.6,336.75,144820,366.50972332539055
5m,2026-06-03 12:25:00+05:30,336.75,380.0,335.3,373.95,378105,366.308362378725
5m,2026-06-03 12:30:00+05:30,374.15,422.15,374.15,418.05,635440,369.76675493522384
5m,2026-06-03 12:35:00+05:30,418.05,465.25,415.95,454.1,434590,374.12968166659454
5m,2026-06-03 12:40:00+05:30,454.9,475.0,451.2,454.1,230815,376.6951510975159
5m,2026-06-03 12:45:00+05:30,454.1,459.45,425.65,433.45,141440,377.82329636109563
5m,2026-06-03 12:50:00+05:30,433.45,446.05,402.9,405.4,148265,378.56778355595526
5m,2026-06-03 12:55:00+05:30,405.4,423.0,404.3,409.8,141700,379.15426612965285
5m,2026-06-03 13:00:00+05:30,409.8,430.5,406.95,423.45,101790,379.660828439427
5m,2026-06-03 13:05:00+05:30,423.45,426.8,410.3,414.45,59475,379.92881704315437
5m,2026-06-03 13:10:00+05:30,414.45,431.35,408.0,430.8,47255,380.1740140948922
5m,2026-06-03 13:15:00+05:30,430.8,451.0,425.1,437.55,140920,381.129015691034
